;class;count
0;встреча;7341
0;отказ;1448
0;звонок;1572
0;род деятельности;75
0;не лоялен ;91
0;территориально;188
0;не ведет деятельность;760
0;не соответсвует требованиям;232
0;интересует;186
0;безналичный;90
0;нет контактов;545
0;не нужен\не может\не хочет;1912
0;клиент согласен на;510
0;сегмент;59
0;др продукт сб;831
0;сделка;193
0;надежда есть;330
0;документы;102
0;отказ категорический;113
0;др банк;262
0;пока;280
0;не отработана. перенесена;170
0;переговоры;124
0;не ответили;122
0;есть кредит;58
0;не разговаривают;127
0;дорогие тарифы;113
0;небольшие обороты;80
0;выполнено;75
0;ликвидация;58
0;счет есть сб;56
0;оптовая торговля;293
0;аренда;76
0;ошибка выборки;153
0;обратится сам;107
0;много документов;4
0;занято;36
0;проблемы;58
0;голов. комп;44
0;км;15
0;подключен;98
0;счет закрыт;104
0;группа компаний;87
0;придет в банк;20
0;сезонный бизнес;22
0;нет на месте;102
0;реорганизация;26
0;приглашение в банк;11
0;погашен;4
0;дубль;53
0;счет есть;25
0;черная зона;11
0;возраст;5
0;рассчитан овердрафт;40
0;планируют закрывать счет;24
0;банкротство;7
0;фл;2
0;условия;17
0;не рассчитывается;9
0;досрочное гашение;2
0;казн. + бюджет;7
0;кэптивный банк;2
0;просрочка;3
0;реструктуризация;3
0;отказ от реструктуризации;1
